scenario,seconds_total_26,seconds_per_clip,relative_to_main,notes
main_metric_current_pipeline,32.969806,1.268069,1.000000,loaded from surrogate_exploration_v1\outputs_v3\cost_measurement\metric_cost_summary.csv
low_dsp_base_plus_v3_features,1.968207,0.075700,0.059697,loaded from surrogate_exploration_v1\outputs_v3\cost_measurement\metric_cost_summary.csv
sim_like_embedding_only,3.809624,0.146524,0.115549,superb/wav2vec2-base-superb-er; device=cuda; local cached model
sim_like_plus_low_dsp,4.446232,0.171009,0.134858,embedding extraction plus enhanced low-DSP feature extraction
