candidate,cost_tier,ingredients,pearson,spearman,kendall_tau_b,pairwise_accuracy,mae,rmse,top3_overlap,top5_overlap,bottom5_overlap,notes,validation
low_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease,-0.286595,-0.523810,-0.285714,0.357143,0.258241,0.295714,0.000000,0.400000,0.400000,alpha=10,LOOCV
e2v_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+e2v_target_prob+e2v_entropy_norm,-0.412936,-0.285714,-0.142857,0.428571,0.270317,0.349521,0.333333,0.600000,0.600000,alpha=10,LOOCV
superb_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+superb_target_prob+superb_entropy_norm,0.341685,0.380952,0.285714,0.642857,0.202372,0.234975,0.333333,0.800000,0.600000,alpha=10,LOOCV
vad_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+vad_target_prob+vad_arousal+vad_dominance+vad_valence,0.542881,0.500000,0.428571,0.714286,0.165387,0.211295,0.666667,0.800000,0.800000,alpha=10,LOOCV
all_emotion_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+e2v_target_prob+e2v_entropy_norm+superb_target_prob+superb_entropy_norm+vad_target_prob,0.433720,0.380952,0.214286,0.607143,0.162259,0.230188,0.666667,0.600000,0.800000,alpha=10,LOOCV
